,Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio
0,9999,0.15451601430277492,,
0,9998,0.19175852065273868,0.1785480967614286,0.9731748688697051
0,9997,0.2081439799089108,0.17907478940215868,1.0618132264385547
0,9996,0.2093000863875872,0.17790871221164722,1.0752710421511515
0,9995,0.21517077392207284,0.1837658456893871,1.0729456999063016
0,9994,0.12341239121503914,,
0,9993,0.18934970814805072,0.19955561587124968,0.8586564071371613
0,9992,0.21781189988998612,0.2040265295677671,0.9793427370121439
0,9991,0.258228329132067,0.20155680784026042,1.1918641285609906
0,9990,0.2465362463279,0.1784690137706878,1.2805373969373914
0,9989,0.2093598885921069,,
0,9988,0.21941291349712985,0.20907091934961192,0.9633712527963958
0,9987,0.1792591185620022,0.17663004407904806,0.9129767215017688
0,9986,0.20093360765667453,0.17954175795487679,1.0188917037486633
0,9985,0.18296318288899988,0.18824146804892494,0.876338166073615
0,9984,0.21656061977630173,0.19194239554914516,1.0344802627278977
0,9983,0.216527304292932,0.18225010678776785,1.0893124168323212
0,9982,0.20601710908162157,0.17507275791972593,1.0739369809198465
0,9981,0.25816641078411784,0.21094872406283435,1.1385061078282728
0,9980,0.1617071769162451,,
0,9979,0.2752128044718432,0.21565287849902126,1.1927167690136375
0,9978,0.19057117416731967,0.17078328680156157,1.0104687490166149
0,9977,0.24274089310708713,0.21273433651120152,1.0564392039046946
0,9976,0.1752239167404618,0.1744119433530208,0.9014515503805303
0,9975,0.2187256433363833,0.20256358965806132,0.9909265711336349
0,9974,0.3480628980862736,0.2051958585783489,1.6085261192552156
0,9973,0.3267966246299507,0.2105180490480759,1.4668415654917595
0,9972,0.24373812642746148,0.1995823134344251,1.1310527598510385
0,9971,0.21912254416765942,0.18447816631617703,1.0902241071875987
0,9970,0.22880036984873153,0.17026478108640195,1.2380738312626118
0,9969,0.25324862252861563,0.19128266865326707,1.2298480786831998
0,9968,0.22783305552354285,0.19698298906847597,1.0652343967153424
0,9967,0.31197035191594186,0.2349380684212254,1.2512674250342275
0,9966,0.17980081393387978,0.16932140357975314,0.9555839398512248
0,9965,0.22308768994403674,0.1823310796011538,1.1248092776758776
0,9964,0.23753212866047616,0.18173744040424708,1.2079631372168584
0,9963,0.3293999753793061,0.23835226495578524,1.3064695459767135
0,9962,0.2019792987960535,0.16627859550854546,1.1064520856299773
0,9961,0.19191250713042984,0.16287217887753572,1.0677852309030347
0,9960,0.1962703915216192,0.1625104554411899,1.0969779823559267
0,9959,0.17012230144470428,0.16804558765746838,0.9052442469050664
0,9958,0.2010463407625725,0.15943599319908827,1.148086684127855
0,9957,0.23253381582486388,0.21758730671792856,0.9859665945632431
0,9956,0.20357319972891286,0.16811158672021653,1.1038691820674873
0,9955,0.20168853734422862,0.19349854101259134,0.9493019243606372
0,9954,0.22189748894970493,0.1883862826987682,1.08233723829956
0,9953,0.20234087355412447,0.18243188000825084,1.0104641444564806
0,9952,0.20887865106384168,0.173097720097712,1.102721924679843
0,9951,0.20836484996493362,0.19431535933018523,0.9796695980242159
0,9950,0.19398896101896396,0.1947517107823039,0.903658100419394
0,9949,0.14747827641923306,,
0,9948,0.18421345378449555,,
0,9947,0.20497789186307114,0.16213826502894094,1.1532002752693602
0,9946,0.24929197640826017,0.20488403552903278,1.1288921355489667
0,9945,0.16604440014026733,,
0,9944,0.2907340472984858,0.1882084680606903,1.4491061433566266
0,9943,0.2388444594418699,0.18581932615020322,1.1884902610364374
0,9942,0.23157403159621,0.22097479897432906,0.966508545714397
0,9941,0.2563103049592576,0.21002066277024664,1.1346993282273308
0,9940,0.19563570483291498,0.1790357208109061,0.9921802421793259
0,9939,0.25327891485315857,0.18788472972563977,1.2522513947606415
0,9938,0.25745845813746276,0.19767897556918326,1.2113501572333756
